RGD symbol	NCBI gene ID	Gene Synonym
		
		
		
		
		
Mt-nd1	26193	Nd1
		
		
		
Mt-nd2	26194	Nd2
		
		
		
		
		
Mt-co1	26195	Co1
Mt-co1	26195	COI
Mt-co1	26195	Cox1
Mt-co1	26195	Mt-coi
Mt-co1	26195	mt_Co1
		
		
Mt-co2	26198	Co2
Mt-co2	26198	COII
Mt-co2	26198	Cox2
		
Mt-atp8	26196	Atp8
Mt-atp6	26197	Atp6
Mt-co3	26204	Co3
Mt-co3	26204	Cox3
Mt-co3	26204	Mt-cox3
		
Mt-nd3	26199	Nd3
		
Mt-nd4l	26200	Nd4l
Mt-nd4	26201	Nd4
		
		
		
Mt-nd5	26202	Nd5
Mt-nd6	26203	Nd6
		
Mt-cyb	26192	Cytb
Mt-cyb	26192	Mt-cytb
		
		
		
Dnlz	296587	LOC296587
Dnlz	296587	MGC189536
Dnlz	296587	RGD1308635
Ccdc92b	360567	LOC360567
Ccdc92b	360567	RGD1562276
		
Zscan25	363872	LOC363872
Zscan25	363872	Zfp498
Zscan25	363872	Znf498
Entr1	306322	LOC306322
Entr1	306322	Sdccag3
Kifc1	294286	MGC94918
Rpe	501157	MGC124653
		
		
Adam11	360638	LOC360638
Mcidas	688802	Idas
Mcidas	688802	LOC688802
Mcidas	688802	Mci
Mcidas	688802	Mcin
Sult1c2a	316153	LOC316153
Sult1c2a	316153	LOC501086
Sult1c2a	316153	MGC108549
Sult1c2a	316153	RGD1565421
Sult1c2a	316153	ST1C2A
Sult1c2a	316153	Sult1c1
Gpc6	691984	LOC306163
Gpc6	691984	LOC691984
LOC100910057	100910057	
		
Zfp951		LOC100188984
Zfp951		MGC189422
LOC102554913		LOC100188984
LOC102554913		MGC189422
Fbxo36	363268	LOC363268
RGD1562392	367201	LOC367201
Hps1	114638	Hps
LOC688801		
Tor1a	266606	Dyt1
Itgb5	257645	LOC498091
Itgb5	257645	RGD1563276
		
RGD1305178	311855	LOC311855
RGD1305178	311855	MGC108846
		
	290484	
		
		
		
		
Ppp1r11	294207	HcgV
Ppp1r11	294207	MGC94346
Ppp1r11	294207	Tctex5
Rffl	282844	fring
Rffl	282844	LOC282844
Rffl	282844	MGC94279
LOC100910526	171072	MGC112625
LOC100910526	171072	MGC124969
LOC100910526	171072	ST1C2
LOC100910526	171072	sultK1
Sult1c2	171072	MGC112625
Sult1c2	171072	MGC124969
Sult1c2	171072	ST1C2
Sult1c2	171072	sultK1
Rnf39	171387	Hzfw1
Rnf39	171387	Lirf
	100302372	
		
Nrk	315907	LOC315907
Nrk	315907	RGD1566163
		
Cdc16	290875	LOC290875
Dux4	306226	Duxbl
Dux4	306226	Duxbl1
Dux4	306226	LOC306226
Dux4	306226	RGD1311053
Lig3	303369	LOC303369
Tab1	315139	LOC315139
Tab1	315139	Map3k7ip1
LOC100910526	100910526	MGC112625
LOC100910526	100910526	MGC124969
LOC100910526	100910526	ST1C2
LOC100910526	100910526	sultK1
Sult1c2	100910526	MGC112625
Sult1c2	100910526	MGC124969
Sult1c2	100910526	ST1C2
Sult1c2	100910526	sultK1
LOC100910526	171072	MGC112625
LOC100910526	171072	MGC124969
LOC100910526	171072	ST1C2
